epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.1934,4.12281,7.16954,4.42228,0,0,0,0,6.41611,7.14043,4.16249,7.497e-05,7.497e-05,7.497e-05
2,45.5008,3.65238,8.77841,3.77212,0,0,0,0,6.41826,7.14767,4.16841,7.99263e-05,7.99263e-05,7.99263e-05
